po_id,employee_id,vendor_id,approval_status,budget,amount,priority,request_date,approval_date,delivery_date,category
POADCECFC2,EMPBEC1DB2D,VNDCE923A65,Approved,38654.31,44606.82,Critical,2024-04-29,2024-05-03,2024-05-18,Raw Materials
PO2D43DB54,EMP702A34CE,VND4DC2D394,Approved,10189.81,12672.96,Normal,2024-10-05,2024-10-07,2024-11-02,Raw Materials
POB40DE192,EMP14090431,VND8CAEB48D,Pending,9860.42,8340.81,Normal,2024-01-07,,,Services
POD1D5539F,EMP309E6FF2,VND97FA9A66,Rejected,32871.73,33496.9,Normal,2024-11-17,2024-11-19,,Equipment
PO22CD9BDA,EMPC8B096CA,VND768A7583,Rejected,32608.86,37793.49,Normal,2024-09-12,2024-09-14,,Equipment
POAA679AA3,EMPC1224921,VND44174C92,Approved,11753.73,12999.47,Normal,2024-06-15,2024-06-19,2024-07-03,Services
PO4102D6BC,EMPF6473149,VND9EBB9EB2,Approved,10282.43,12773.39,Normal,2024-11-11,2024-11-16,2024-11-26,Office Supplies
POF31C3BC9,EMPDCE527F2,VND5FE97D0B,Pending,9221.74,10147.91,Normal,2024-04-24,,,Components
PO52A441BC,EMP1E975EEC,VNDCE923A65,Approved,19776.81,21377.16,Normal,2024-01-12,2024-01-13,2024-01-30,Office Supplies
POEF13052B,EMPD6073346,VND5FE97D0B,Approved,38600.77,41931.93,Normal,2024-05-18,2024-05-22,2024-06-09,Equipment
POE666F7BC,EMP4B8A47EE,VNDA68A83A5,Approved,41458.85,34751.82,Normal,2024-02-18,2024-02-23,2024-03-03,Components
PO20BA1105,EMPBB0A5819,VND3A80813D,Approved,12323.95,13414.76,Critical,2024-05-22,2024-05-24,2024-06-15,Raw Materials
PO63FBD0EB,EMP6773F17C,VND859AA544,Approved,29074.35,33939.91,Normal,2024-08-31,2024-09-02,2024-09-26,Equipment
PO472C7811,EMP15908E60,VNDF5F231C0,Approved,39858.44,49571.5,Normal,2024-10-24,2024-10-27,2024-11-01,Office Supplies
PO37B38300,EMPCDE19E06,VND7B8206C3,Approved,51126.84,46935.5,Normal,2024-09-04,2024-09-05,2024-09-17,Services
PO83AC4BA5,EMP5F8E893F,VND9EBB9EB2,Cancelled,35338.04,41770.74,Normal,2024-03-09,2024-03-10,,Office Supplies
POE71CF2C2,EMP9F1F9318,VND9EBB9EB2,Pending,33844.85,34784.6,High,2024-11-06,,,Office Supplies
POE8A8985E,EMP1C9359C3,VNDAD897EA3,Pending,29429.66,25050.89,Critical,2024-04-29,,,Components
PO9E7DF4C3,EMP6D913BC3,VND4520F17A,Approved,39205.51,44560.03,Normal,2024-07-03,2024-07-05,2024-08-04,Equipment
PO645E1193,EMP1C3D5DD2,VNDF7A9FFF9,Approved,11881.25,14358.06,Normal,2024-01-18,2024-01-22,2024-02-14,Raw Materials
PO6DCA1C4E,EMP75A0AFCF,VND7290C297,Approved,14620.77,15489.58,Critical,2024-01-19,2024-01-22,2024-02-05,Equipment
POC423667D,EMP17063C2D,VND4A2B2E76,Approved,27215.02,27095.66,Normal,2024-04-30,2024-05-05,2024-06-01,Raw Materials
PO0998A2E3,EMPACCF9E4F,VNDD74D095B,Approved,47042.22,42597.35,High,2024-12-15,2024-12-20,2025-01-09,Equipment
PO25BF344C,EMPEC7B3BCA,VND3A746CBD,Approved,39082.78,43724.67,High,2024-12-31,2025-01-05,2025-02-02,Components
PO3B03944B,EMP563020C8,VND4F7B00FC,Approved,5021.83,5301.12,Normal,2024-07-10,2024-07-15,2024-08-11,Components
PO56E74328,EMP61F2AB0D,VND4DC2D394,Approved,36973.81,44224.9,Normal,2024-03-15,2024-03-17,2024-04-03,Office Supplies
POF89631DE,EMP0D6A47A6,VND88584A44,Approved,3615.26,3111.99,Normal,2024-12-29,2024-12-31,2025-01-10,Services
PO7AAE548D,EMPE675D1DD,VNDAB26D618,Approved,34680.44,32739.23,Normal,2024-03-17,2024-03-22,2024-04-02,Office Supplies
PO173A6174,EMP52C6ACF0,VND397FE668,Pending,21988.29,20334.94,Normal,2024-05-18,,,Equipment
POA29D7341,EMPC2F61232,VNDE1A395FA,Approved,42135.68,37260.44,Normal,2024-04-10,2024-04-12,2024-05-08,Equipment
PO2A5B7AAE,EMP9BC3CE2D,VND37AB5C39,Approved,10744.36,10374.66,Normal,2024-02-10,2024-02-14,2024-02-26,Components
PO3AB9710F,EMP24B6ACC4,VND0B515B0E,Approved,41101.36,41335.9,Critical,2024-08-14,2024-08-19,2024-08-30,Equipment
PO32A9ADF4,EMP116D31D5,VND8C1D087C,Approved,12186.53,13478.78,Normal,2024-10-29,2024-11-02,2024-12-02,Services
PO6AB8B8D0,EMP8609C373,VND1DF449E3,Approved,45170.33,38185.76,Normal,2024-11-19,2024-11-23,2024-12-19,Raw Materials
PO537A00D6,EMPCB76661D,VND2AF9B25B,Approved,48220.28,46220.27,Normal,2024-03-13,2024-03-17,2024-03-30,Raw Materials
POABDE1F13,EMP7A28E8EE,VND86F10A10,Approved,48572.67,48347.58,Normal,2024-07-05,2024-07-09,2024-08-07,Raw Materials
POF002D4F8,EMPF9FEA6B5,VND507751E2,Approved,45946.94,39796.6,Critical,2024-10-07,2024-10-08,2024-11-02,Components
POB79EDCD8,EMPD25F7B5F,VND6FADEC72,Approved,31815.08,36220.63,Normal,2024-07-08,2024-07-13,2024-08-06,Services
PO7945F77C,EMP2F8F567D,VNDCDB882C0,Approved,34545.03,37650.03,Normal,2024-07-30,2024-08-03,2024-08-30,Components
PO90561E93,EMP2A7056E0,VND4EA7F305,Approved,40207.58,40798.1,High,2024-07-04,2024-07-06,2024-07-30,Raw Materials
PO1F0D2EA0,EMPCC30BFC0,VND88584A44,Approved,31018.35,37184.93,High,2024-01-22,2024-01-23,2024-01-31,Components
POCE47FDC3,EMPC05D9021,VNDCAF05089,Approved,16414.74,17805.03,Normal,2024-03-10,2024-03-12,2024-03-24,Services
POB1334A70,EMPC68BFCD6,VNDE6A4DD03,Approved,40630.8,42339.43,Normal,2024-06-12,2024-06-16,2024-07-13,Services
POCCB7B33A,EMPA6BF9317,VND34264845,Pending,3958.7,4131.48,Normal,2024-02-21,,,Office Supplies
PO3C7EDDEC,EMP114E2C24,VNDF7742C98,Rejected,42475.03,47684.55,Normal,2024-07-14,2024-07-15,,Services
POC7D6910C,EMP22A37D28,VND1DF7F1DC,Rejected,10649.72,10967.12,Critical,2024-12-19,2024-12-21,,Equipment
POA8A46284,EMP0B516A0E,VND190C8D31,Approved,10999.32,9593.95,Critical,2024-12-23,2024-12-27,2025-01-19,Services
POEB54FB35,EMP34051969,VND4AFDF46C,Approved,25885.71,31418.35,Normal,2024-11-18,2024-11-22,2024-11-29,Services
PO52E43325,EMP9FBB2844,VNDF08F6829,Approved,35775.4,35312.88,Normal,2024-04-12,2024-04-15,2024-05-08,Components
PO45050885,EMP4060BC72,VND49098C56,Pending,3341.62,3192.17,Normal,2024-11-16,,,Components
PO7420D3E1,EMP634ACD36,VNDF7A9FFF9,Approved,24284.83,30220.24,Critical,2024-05-19,2024-05-22,2024-06-16,Components
POD78C5933,EMP6C269A27,VND139B2EB5,Approved,35179.66,36389.91,Normal,2024-12-15,2024-12-16,2024-12-22,Services
POB10D65CF,EMPA8864017,VNDD6D686D6,Approved,12174.02,10662.73,Normal,2024-08-16,2024-08-21,2024-09-13,Office Supplies
POE79A3886,EMP15E9AD4D,VNDAD897EA3,Approved,50886.19,43134.19,Normal,2024-11-29,2024-12-02,2024-12-26,Office Supplies
PODAF6FAE0,EMP629560D9,VND1199176D,Approved,21450.94,25496.54,Normal,2024-11-12,2024-11-17,2024-12-05,Office Supplies
PO187ADC20,EMP5F8E893F,VND19CF5E06,Pending,1658.01,1793.37,Critical,2024-04-08,,,Components
PO17477182,EMP54D49B34,VND9E3DBA67,Approved,32347.17,37124.0,High,2024-05-27,2024-05-30,2024-06-08,Components
PO5D248019,EMP89788DD6,VND97FA9A66,Approved,21028.58,18836.29,Normal,2024-03-20,2024-03-21,2024-03-31,Office Supplies
PO25A33038,EMP550BD8EC,VND23FDC749,Pending,7813.69,7945.34,Normal,2024-04-03,,,Office Supplies
PO801B6F46,EMP6329BB4E,VND03F2A471,Approved,1270.8,1063.52,Normal,2024-12-19,2024-12-23,2025-01-10,Equipment
PO9B3714C2,EMP2352F247,VND999ED598,Pending,5187.78,5947.55,Critical,2024-07-01,,,Raw Materials
PO70F12F06,EMP16E385FA,VNDBA0CC89B,Approved,22325.28,20944.3,Normal,2024-12-13,2024-12-14,2025-01-03,Equipment
POBB80865B,EMP98A462F7,VND2986F777,Approved,23928.87,26036.1,High,2024-09-01,2024-09-06,2024-09-17,Services
PO1EA84549,EMPC7F89DF0,VND1306F6E1,Approved,43628.1,40084.34,Normal,2024-03-18,2024-03-23,2024-04-10,Components
POB9B5A860,EMPB4348823,VND768A7583,Approved,845.37,783.78,Normal,2024-07-05,2024-07-08,2024-07-20,Services
POE4EB2F27,EMP5285F90C,VND1A73FC33,Approved,34497.75,40648.39,Normal,2024-03-01,2024-03-04,2024-03-17,Services
POAACD9C45,EMPB677E287,VND6C887C82,Approved,3232.04,3357.38,Normal,2024-01-21,2024-01-23,2024-02-01,Office Supplies
PO9E382562,EMPA01BA72C,VND999ED598,Approved,594.54,534.66,Normal,2024-04-23,2024-04-25,2024-05-08,Equipment
PO5A95F89B,EMP67A81B7D,VND79774EB1,Approved,11084.57,13323.01,High,2024-05-30,2024-06-04,2024-06-16,Components
POBEAC83C1,EMP6876F804,VNDA68A83A5,Approved,23114.08,25034.37,Normal,2024-06-13,2024-06-15,2024-07-06,Components
POAAA15277,EMPCDEF567F,VND6FADEC72,Approved,49059.13,42862.28,High,2024-04-17,2024-04-21,2024-05-09,Office Supplies
PO0930B906,EMPD70D72E9,VNDE6A4DD03,Cancelled,40020.94,40012.78,Normal,2024-02-22,2024-02-24,,Components
PO193FA413,EMP17186B43,VNDC4092504,Approved,3394.01,3246.8,Normal,2024-11-16,2024-11-19,2024-12-17,Components
PO10499CC4,EMPB42CCC30,VNDBC15E50D,Approved,22872.63,25473.78,Normal,2024-02-27,2024-02-28,2024-03-14,Office Supplies
POECF1DC15,EMP0DA1DFC7,VND859AA544,Pending,14139.89,14880.01,Normal,2024-01-15,,,Components
PO0E9048A4,EMP46A8FF3C,VND6ACF147A,Approved,39736.15,44429.21,Normal,2024-02-25,2024-03-01,2024-03-16,Components
POFBCF05C4,EMP6229097E,VND6F35B3AD,Approved,2767.96,2321.74,Critical,2024-06-28,2024-07-01,2024-07-26,Components
PO674B50E6,EMPD7179243,VND11B92497,Rejected,14044.64,13364.31,High,2024-04-08,2024-04-11,,Services
POC0796264,EMP54513B57,VNDD902468E,Approved,13438.92,14582.31,Normal,2024-01-10,2024-01-15,2024-02-13,Raw Materials
PO015B633F,EMP5A2C826E,VND8539FA55,Approved,39868.93,37415.54,Critical,2024-03-23,2024-03-26,2024-04-15,Raw Materials
PO6E089887,EMP34B83D72,VND0CE75C53,Approved,19352.13,18310.83,High,2024-07-20,2024-07-23,2024-08-14,Equipment
PO2EA101EF,EMP0DA1DFC7,VND23FDC749,Approved,44630.02,47343.68,Normal,2024-09-20,2024-09-24,2024-10-22,Raw Materials
PO0A9073D3,EMP0DABB90F,VND6C887C82,Approved,3458.3,2893.7,Normal,2024-02-18,2024-02-20,2024-03-09,Services
PO20CA529B,EMP3171E9C1,VND2AF9B25B,Approved,15785.83,16906.34,High,2024-06-21,2024-06-25,2024-07-22,Components
PO15FB13BE,EMP7EB4D8F7,VND7B8206C3,Approved,3589.65,3891.74,Normal,2024-04-22,2024-04-27,2024-05-15,Components
PO532B23C6,EMPDE831BC0,VNDD6D686D6,Approved,44414.06,40053.87,High,2024-11-22,2024-11-24,2024-12-03,Raw Materials
PO1F7BDDA8,EMP751A2BDE,VND3A746CBD,Approved,4986.41,6156.49,Normal,2024-11-21,2024-11-22,2024-12-18,Services
POA45A074E,EMP61DAE0F8,VNDCAE263CC,Approved,14201.88,15321.91,High,2024-03-28,2024-03-29,2024-04-16,Raw Materials
POAB725DC6,EMPFDEE0D9E,VNDF10E17A7,Approved,10632.62,11400.98,Normal,2024-01-18,2024-01-22,2024-02-18,Components
PO460F43EB,EMP1C66FCAC,VND489E103A,Approved,15170.35,15989.31,Normal,2024-07-23,2024-07-26,2024-08-11,Equipment
PO50110F6E,EMP955AAB39,VND7B4F5D31,Approved,40399.24,42849.39,Normal,2024-10-12,2024-10-15,2024-11-06,Services
POFCBBAE98,EMP801003F6,VND616471F8,Approved,1416.48,1181.41,Normal,2024-01-23,2024-01-24,2024-02-10,Office Supplies
POC856D07B,EMPD9038811,VND768A7583,Approved,38327.31,37080.07,Normal,2024-08-11,2024-08-15,2024-09-02,Equipment
PODD4EFB11,EMP65A13B16,VND37AB5C39,Approved,16457.11,17423.93,High,2024-07-24,2024-07-28,2024-08-12,Components
PO17FEE78F,EMP12C7D239,VND9E3DBA67,Approved,50765.91,42590.38,Normal,2024-02-23,2024-02-28,2024-03-10,Components
POCA0FE302,EMPB9043D8C,VND220F792F,Approved,55435.28,49126.07,Normal,2024-07-02,2024-07-04,2024-07-13,Office Supplies
PO142AE31C,EMPE3499ADE,VNDA0E8AF6C,Approved,33774.14,29284.0,Normal,2024-11-28,2024-12-02,2024-12-27,Components
POF70A6D5C,EMPFE25A6E8,VNDE6156EFE,Approved,14928.68,17782.57,High,2024-11-16,2024-11-18,2024-12-08,Services
PO6E009F68,EMPB57438A6,VND1A32B030,Approved,28136.21,23642.27,Critical,2024-09-23,2024-09-25,2024-09-30,Equipment
PO9E15494F,EMP83DA3C31,VND9EBB9EB2,Approved,15852.55,15042.63,Normal,2024-12-07,2024-12-12,2024-12-27,Services
PO07FEEC23,EMP4C058A6F,VND7DD7F0E9,Approved,6196.36,5251.58,High,2024-05-06,2024-05-09,2024-05-16,Components
POF38CAAA3,EMP281B9F78,VNDF981F27F,Pending,15466.3,16278.46,Normal,2024-11-27,,,Raw Materials
POE357A4F8,EMP300BADCD,VND5FE97D0B,Rejected,18516.1,23082.93,High,2024-07-22,2024-07-24,,Components
POF8A3320E,EMP5C8B869A,VNDCE923A65,Approved,19071.89,20525.88,Normal,2024-08-31,2024-09-01,2024-09-29,Equipment
POAAE4B6B9,EMP4E65C5CD,VND18221D96,Pending,38991.96,33439.08,Normal,2024-09-17,,,Components
POB170E742,EMPE0B7FFF6,VND048CF2D5,Approved,27759.05,24500.42,Normal,2024-10-11,2024-10-13,2024-10-29,Components
POC4BF1A45,EMP95ECEE7F,VND3D2A9A3A,Approved,44898.01,39316.36,Normal,2024-11-15,2024-11-17,2024-12-16,Services
PODAF14EB7,EMP1D77B6DF,VND27CBAF37,Approved,13943.23,12767.74,Normal,2024-08-29,2024-09-02,2024-10-02,Services
PO23C2EF4C,EMP22C98E3B,VND6B54C68D,Approved,21283.55,19783.67,Normal,2024-12-18,2024-12-23,2025-01-16,Equipment
PO3B674495,EMP06BEEFDD,VND49098C56,Approved,12587.57,14280.35,High,2024-01-08,2024-01-09,2024-01-22,Raw Materials
PO18361701,EMP4F2856E6,VNDAD897EA3,Approved,43047.99,39536.58,Normal,2024-01-01,2024-01-05,2024-01-11,Services
PO072FD9A8,EMP4B4A2F65,VND19CF5E06,Approved,39790.35,40468.89,Normal,2024-07-06,2024-07-07,2024-08-01,Components
PO1F63E4AA,EMP640F1C5E,VND79774EB1,Approved,3718.22,4340.8,Normal,2024-09-02,2024-09-04,2024-10-02,Raw Materials
PO4323D211,EMPCAD8F161,VND3A80813D,Rejected,39911.09,39505.53,Normal,2024-11-07,2024-11-08,,Raw Materials
POC5467CA4,EMP55E21613,VND4D8ED92A,Cancelled,15457.45,17654.43,High,2024-10-03,2024-10-06,,Components
POA15CFCB0,EMP2D4D1C5C,VNDA0E8AF6C,Approved,34622.25,31665.48,Normal,2024-08-01,2024-08-03,2024-08-21,Office Supplies
POEA06E59A,EMP5DFC9BFC,VND3A80813D,Approved,38120.04,31799.23,Normal,2024-07-16,2024-07-21,2024-08-13,Components
PO4372767C,EMP2F0CF319,VND07F575C8,Approved,7021.98,6580.11,High,2024-05-30,2024-06-03,2024-06-24,Components
PO8DD2D1E7,EMP86A82140,VND859AA544,Cancelled,16180.71,17451.49,Normal,2024-06-27,2024-06-29,,Office Supplies
POD2422941,EMPB4532331,VND6B54C68D,Pending,2571.58,3201.24,Normal,2024-05-26,,,Raw Materials
POA7C772B0,EMP24D2D209,VND139B2EB5,Pending,41091.61,39475.08,Normal,2024-07-19,,,Components
POBE0DFACE,EMP4CF46835,VND2FE40F33,Approved,5116.52,5403.83,Normal,2024-11-01,2024-11-04,2024-11-18,Raw Materials
PO67D7C1E3,EMP7C7D9D6B,VNDF909C443,Approved,27718.87,33529.36,Normal,2024-04-16,2024-04-18,2024-05-13,Equipment
PO41EB282E,EMPD041414D,VND7DD7F0E9,Approved,38029.57,34751.11,High,2024-07-23,2024-07-26,2024-08-17,Equipment
PO7A2235D5,EMPD3942255,VNDE6156EFE,Approved,44729.64,41309.29,Normal,2024-07-28,2024-08-01,2024-08-24,Equipment
POAABA402A,EMP89E33251,VND650A3AAA,Approved,10105.15,9332.83,High,2024-09-05,2024-09-06,2024-10-02,Equipment
PO648180C8,EMPC5810F2B,VND80A0A536,Approved,30046.42,36049.04,Normal,2024-05-12,2024-05-16,2024-05-30,Services
PO675D5C01,EMP89A85E03,VNDE05F71D7,Approved,42882.0,46046.43,Normal,2024-03-02,2024-03-07,2024-04-06,Office Supplies
PO4824670E,EMP4D5717A7,VND2258ABB1,Cancelled,5544.78,4729.84,Normal,2024-10-18,2024-10-21,,Office Supplies
PO16F9FC98,EMP2C1D47CF,VND7E4DB750,Approved,28564.24,29168.54,Critical,2024-12-14,2024-12-15,2025-01-08,Office Supplies
PO21E2770B,EMP4AA77579,VND4F7B00FC,Approved,29156.92,30077.94,Normal,2024-10-12,2024-10-13,2024-10-24,Raw Materials
POD4FE1A54,EMPB42A0784,VNDF549E284,Rejected,10230.74,8882.53,Normal,2024-09-29,2024-10-01,,Services
POE19CB7CB,EMP2489B7FC,VND2258ABB1,Approved,34520.35,31523.92,Normal,2024-01-29,2024-02-03,2024-03-03,Equipment
PO257CBE0F,EMP1461F4F5,VNDBC15E50D,Pending,16165.57,14284.9,Normal,2024-12-09,,,Equipment
POD2DA39F1,EMP068794CF,VNDDA6D8C81,Approved,29481.76,24637.72,Normal,2024-05-28,2024-05-31,2024-06-20,Components
PO0343BA98,EMPD067907F,VND2258ABB1,Approved,9076.23,8095.12,Normal,2024-02-23,2024-02-25,2024-03-17,Raw Materials
PO10071726,EMP86C6666C,VNDA74DADEC,Pending,12209.07,10998.29,High,2024-02-05,,,Components
POA94A4292,EMP7FE01D61,VND4DC2D394,Approved,14485.57,17241.25,Normal,2024-07-22,2024-07-24,2024-08-05,Raw Materials
PO3F6E840E,EMP1A764851,VND76F0F0E0,Approved,6831.77,6978.07,Normal,2024-05-24,2024-05-27,2024-06-13,Services
PO0C74105C,EMPF85B6A40,VND389A891A,Rejected,49369.13,46736.81,Normal,2024-04-17,2024-04-20,,Services
PO732EFD5C,EMP0F5F8DC6,VNDC995E3B7,Pending,27608.84,30023.84,Normal,2024-12-27,,,Components
POBD3CB32F,EMPDC6A7C50,VND6ACF147A,Approved,26541.91,32235.5,Normal,2024-05-25,2024-05-29,2024-06-20,Office Supplies
PO392F1852,EMPAFECAF38,VNDDFDF8860,Cancelled,15014.18,18402.69,Normal,2024-08-09,2024-08-11,,Components
POE8F1D42E,EMP29F24617,VNDF981F27F,Approved,4706.15,4258.52,Normal,2024-07-08,2024-07-11,2024-08-09,Services
POEF2DF97F,EMP783A92CA,VNDA6643FA7,Approved,14398.63,15443.07,Normal,2024-03-14,2024-03-15,2024-03-30,Office Supplies
POC6EA669C,EMPE6EF03E1,VND020FD5AF,Approved,25401.35,24600.34,Normal,2024-04-29,2024-05-04,2024-05-29,Raw Materials
POA93AB355,EMP0E32A8E1,VND448E4836,Pending,22489.27,22119.07,Normal,2024-10-06,,,Services
POCED3B0A3,EMPB73507B5,VNDE13413E5,Pending,26224.35,31434.17,Normal,2024-11-08,,,Components
PO31D75B4A,EMP6B5D440B,VND17D7E4DC,Pending,27761.11,23156.49,High,2024-03-01,,,Components
PO05DA58BD,EMPB8D27096,VNDAD897EA3,Pending,15609.15,13155.88,Normal,2024-09-29,,,Services
PO3F70C734,EMPC52452F9,VND66028154,Pending,30594.05,36093.61,Normal,2024-08-04,,,Raw Materials
PO7372814D,EMP2069C7B1,VND1A73FC33,Approved,50849.44,44203.05,Critical,2024-06-21,2024-06-24,2024-06-30,Equipment
PO1FC42BC3,EMP93907093,VND859AA544,Pending,4001.86,3516.53,Normal,2024-09-30,,,Equipment
PO12E2C8F7,EMPF2440886,VND220F792F,Approved,18953.55,23294.7,Critical,2024-08-19,2024-08-22,2024-09-17,Equipment
POCC6EB46F,EMP2B6F1D23,VND75832916,Approved,8167.18,7667.79,Normal,2024-06-02,2024-06-05,2024-06-22,Services
POFECD34AD,EMPFFCC5248,VND5FBBF7E5,Approved,28240.84,27427.87,Normal,2024-08-22,2024-08-23,2024-09-15,Components
PO3C0E1372,EMP70A9078D,VND5B2EC8F1,Approved,3851.28,3840.48,Normal,2024-12-17,2024-12-19,2024-12-24,Equipment
PO458A41B8,EMP12D7C68F,VND4AFDF46C,Approved,20534.38,24220.25,Normal,2024-02-03,2024-02-05,2024-02-21,Raw Materials
POFC3C00DB,EMP9946E371,VNDC995E3B7,Approved,16874.19,16028.16,Critical,2024-04-08,2024-04-13,2024-05-02,Raw Materials
PO8F299E4E,EMP10BA59EB,VND6FADEC72,Pending,6039.82,6333.23,Normal,2024-02-24,,,Raw Materials
PO17D1CEFC,EMPD6EC8E99,VNDA74DADEC,Approved,14060.91,17259.18,Critical,2024-12-14,2024-12-18,2024-12-25,Services
POC9B6D86A,EMPC796E48A,VND0A251297,Approved,13300.52,11543.05,Normal,2024-07-24,2024-07-25,2024-07-30,Raw Materials
PO6CE755A9,EMP051A1700,VND8539FA55,Approved,33670.18,38454.68,Normal,2024-05-04,2024-05-07,2024-05-18,Components
PO7C434EA7,EMP86F0446A,VNDF08F6829,Approved,20932.23,25099.93,Critical,2024-03-14,2024-03-17,2024-04-09,Office Supplies
PO40E95B6D,EMP5A741E65,VND6F35B3AD,Rejected,40766.67,41705.16,Normal,2024-02-16,2024-02-18,,Components
PO40085E84,EMPB90717F3,VND448E4836,Approved,17535.87,19568.16,Normal,2024-08-14,2024-08-19,2024-08-25,Services
PO5ED6CDDD,EMP93691B2B,VNDF545674F,Approved,21899.8,24687.9,Normal,2024-09-24,2024-09-26,2024-10-20,Office Supplies
PO9E296CE2,EMP2E512AE1,VND9E3DBA67,Approved,36430.7,39969.55,High,2024-03-27,2024-04-01,2024-04-15,Raw Materials
PO4D86620C,EMP5D6DDAE3,VNDE4298A7B,Approved,9323.02,9230.52,Normal,2024-03-22,2024-03-27,2024-04-24,Services
PO001F43BC,EMP1ADD5BA7,VNDEB6F8ED3,Pending,24823.8,23462.13,Critical,2024-06-08,,,Components
POA2DDD9F7,EMP6719C36E,VND0B515B0E,Approved,37315.97,35148.86,Normal,2024-03-31,2024-04-03,2024-04-26,Services
POBB91749A,EMPCCA37150,VNDCAE263CC,Approved,10492.74,8775.23,Normal,2024-05-29,2024-06-03,2024-06-13,Raw Materials
POB54EB1BC,EMPF162FCAB,VND109E5C6F,Approved,31480.64,29226.02,Normal,2024-06-18,2024-06-19,2024-07-11,Raw Materials
PO704E3A4A,EMPA2C6801C,VND36436386,Approved,30952.02,31438.47,Critical,2024-10-03,2024-10-04,2024-10-21,Equipment
POE6332447,EMP8374190A,VND6917D5FA,Approved,46405.68,47082.62,Normal,2024-10-26,2024-10-27,2024-11-24,Components
POD14E4AFB,EMP65CEB036,VNDD95DB1B7,Approved,26659.46,23919.85,Normal,2024-05-27,2024-05-30,2024-06-17,Raw Materials
PO06761604,EMP048A5C50,VNDCFB6DC09,Approved,12909.68,13916.42,Normal,2024-11-11,2024-11-12,2024-12-01,Raw Materials
PO52934738,EMPB1133F2A,VND44174C92,Approved,14585.62,16373.63,Normal,2024-03-02,2024-03-03,2024-03-30,Services
